Scuola,Autore,Soggetto/Titolo,Data,Sala
fiorentina,"Lippi, Filippo",Adorazione del Bambino di Annalena e predella,1453,8 - I Lippi
fiorentina,"Lippi, Filippo","Vergine Annunziata, Angelo Annunziante, sant'Antonio Abate e san Giovanni Battista",1452-1453 circa,8 - I Lippi
fiorentina,"Lippi, Filippo",Lippina,1465 circa,8 - I Lippi
fiorentina,"Lippi, Filippo e Pesellino, Francesco (predella)",Pala del Noviziato,1445,8 - I Lippi
fiorentina,"Lippi, Filippo",Predella della pala Barbadori,1437-1438 circa,8 - I Lippi
urbinate,Piero della Francesca,Ritratti di Federico da Montefeltro e di Battista Sforza con i rispettivi Trionfi sul retro,1465-1472 circa,8 - I Lippi
fiorentina,"Baldovinetti, Alesso",Annunciazione,1457 circa,8 - I Lippi
fiorentina,"Baldovinetti, Alesso",Pala di Cafaggiolo,1454 circa,8 - I Lippi
fiorentina,"Lippi, Filippino",Adorazione dei Magi,1496,8 - I Lippi
fiorentina,"Lippi, Filippino",Pala degli Otto,1486,8 - I Lippi
fiorentina,"Lippi, Filippino",Adorazione del Bambino,1483 circa,8 - I Lippi
fiorentina,"Lippi, Filippino",San Girolamo,1493-1495 circa,8 - I Lippi
fiorentina,"Lippi, Filippino",Autoritratto,1485 circa,Depositi
fiorentina,"Lippi, Filippino",Ritratto di uomo anziano,1485 circa,Depositi
fiorentina,"Pollaiolo, Piero",Ritratto di Galeazzo Maria Sforza,1471,9 - I Pollaiolo
fiorentina,"Pollaiolo, Piero del, e Antonio",Pala del Cardinale del Portogallo,1466-1467 circa,9 - I Pollaiolo
fiorentina,"Lippi, Filippino (attr.)",Ritratto di giovane col berretto rosso,1485 circa,Depositi
fiorentina,"Pollaiolo, Antonio del, o Piero",Ritratto femminile,1475 circa,9 - I Pollaiolo
fiorentina,"Pollaiolo, Antonio del",Ercole e Anteo,1475 circa,9 - I Pollaiolo
fiorentina,"Pollaiolo, Antonio del",Ercole e l'Idra,1475 circa,9 - I Pollaiolo
fiorentina,Jacopo del Sellaio,Convito di Assuero,1490 circa,Depositi
fiorentina,"Botticelli, Sandro",Fortezza,1470,9 - I Pollaiolo
fiorentina,"Pollaiolo, Piero",Temperanza,1470,9 - I Pollaiolo
fiorentina,"Pollaiolo, Piero",Prudenza,1470,9 - I Pollaiolo
fiorentina,"Pollaiolo, Piero",Giustizia,1470,9 - I Pollaiolo
fiorentina,"Pollaiolo, Piero",Fede,1470,9 - I Pollaiolo
fiorentina,"Pollaiolo, Piero",Carità,1469,9 - I Pollaiolo
fiorentina,"Pollaiolo, Piero",Speranza,1470,9 - I Pollaiolo
fiorentina,Biagio d'Antonio,Giustizia,1490 circa,Depositi
fiorentina,"Botticelli, Sandro",Madonna della Loggia,1467,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Madonna del Roseto,1469-1470,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Madonna in gloria di serafini,1469-1470,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Pala di Sant'Ambrogio,1470 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Scoperta del cadavere di Oloferne,1472 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Ritorno di Giuditta dal campo nemico,1472 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Ritratto d'uomo con medaglia di Cosimo il Vecchio,1474-1475 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Adorazione dei Magi,1475 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Madonna del Magnificat,1481 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Primavera,1482 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Pallade che doma il centauro,1482-1483 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Nascita di Venere,1482–1485 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Madonna della Melagrana,1487,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Pala di San Barnaba e predella,1487,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Pala di San Marco e predella,1488-1490,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Annunciazione di Cestello,1489-1490 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Sant'Agostino nello studio,1490-1495 circa,10/14 - Botticelli
fiorentina,"Botticelli, Sandro",Calunnia,1496,10/14 - Botticelli
fiorentina,"Ghirlandaio, Domenico",Sacra conversazione di Monticelli e predella con Pietà e storie di santi (di Bartolomeo di Giovanni),1483,10/14 - Botticelli
fiorentina,"Ghirlandaio, Domenico",Sacra conversazione degli Ingesuati,1484-1486 circa,10/14 - Botticelli
fiorentina,"Ghirlandaio, Domenico",Adorazione dei Magi Tornabuoni,1487,10/14 - Botticelli
fiamminga,"Weyden, Rogier van der",Deposizione nel sepolcro,1450,10/14 - Botticelli
fiamminga,"Goes, Hugo van der",Trittico Portinari,1477-1478,10/14 - Botticelli
fiorentina,Leonardo da Vinci,Annunciazione,1472-1475 circa,15 - Leonardo
fiorentina,Leonardo da Vinci,Adorazione dei Magi,1481-1482,15 - Leonardo
fiorentina,"Verrocchio, Andrea del, Leonardo da Vinci e altri",Battesimo di Cristo,1475-1478,15 - Leonardo
umbra,Perugino,Orazione nell'orto,1483-1495 circa,15 - Leonardo
umbra,"Perugino e Signorelli, Luca",Crocifissione,1483-1495 circa,15 - Leonardo
umbra,Perugino,Pietà,1483-1493 circa,15 - Leonardo
umbra,Perugino,Madonna col Bambino in trono tra i santi Giovanni Battista e Sebastiano,1493,15 - Leonardo
fiorentina,Lorenzo di Credi,Adorazione dei pastori,1510 circa,15 - Leonardo
fiorentina,Piero di Cosimo,Incarnazione,1505 circa,15 - Leonardo
fiorentina,"Signorelli, Luca",Crocifisso con la Maddalena,1502-1505 circa,15 - Leonardo
fiorentina,"Signorelli, Luca","Madonna col Bambino, la Trinità, sant'Agostino e sant'Atanasio d'Alessandria",1510,15 - Leonardo
fiorentina,"Buti, Ludovico e Bonsignori, Stefano",Raffigurazioni ad affresco della Toscana su rilievi cartografici,1590 circa,16 - Carte geografiche
fiorentina,"Zucchi, Jacopo",Soffitto con scene mitologiche,1560-1570 circa,16 - Carte geografiche
romana,Perin del Vaga,Passaggio del Mar Rosso,1522-153 circa,17 - Stanzino delle Matematiche
fiamminga,"Hoecke, Jan van den",Ercole tra il Vizio e la Virtù,1647-1651 circa,18 - Tribuna
veneta,Scuola veneta,Ritratto d'uomo,1550-1600 circa,18 - Tribuna
lombarda,"Moroni, Giovan Battista",Ritratti virile,1560-1570 circa,18 - Tribuna
veneta,Bottega dei Bassano,Concerto,1590 circa,18 - Tribuna
fiorentina,Ridolfo del Ghirlandaio,Ritratto di giovane,1517-1520 circa,18 - Tribuna
veneta,Scuola veneta,San Giovanni decollato,1590-1650 circa,18 - Tribuna
fiorentina,Andrea del Sarto (attr.),"Cristo crocifisso con san Francesco d'Assisi, Raffaele arcangelo e Tobiolo",1510-1530 circa,18 - Tribuna
ligure,"Cambiaso, Luca",Madonna col Bambino,1570 circa,18 - Tribuna
veneta,Tiziano (bottega),Ritratto di Caterina Cornaro come santa Caterina d'Alessandria,1510 circa,18 - Tribuna
romana,"Maratta, Carlo",Redentore,1650-1700 circa,18 - Tribuna
olandese,Rembrandt (copia antica da),Sacra famiglia,1640 (post),18 - Tribuna
emiliana,Scuola emiliana del secolo XVI,Ritratto di fanciullo,1500-1600 circa,18 - Tribuna
veneta,"Caliari, Carletto",Creazione di Eva,1560-1590 circa,18 - Tribuna
fiorentina,Raffaellino del Garbo,Allegoria,1498 circa,18 - Tribuna
veneta,Tiziano e bottega,Madonna col Bambino e san Giovannino,1500-1530 circa,18 - Tribuna
spagnola,"Yáñez, Fernando","Madonna col Bambino, sant'Elisabetta e san Giovannino",1500 circa,18 - Tribuna
veneta,Scuola veneta,Ritratto d'uomo,1530-1550 circa,18 - Tribuna
veneta,Tiziano (attr.),Venere della pernice,1530-1540 circa,18 - Tribuna
veneta,"Tintoretto, Jacopo e bottega",Ritratto d'uomo anziano,1560-1580 circa,18 - Tribuna
veneta,"Vicentino, Andrea",Convitto di Salomone,1580-1600 circa,18 - Tribuna
veneta,"Caliari, Carletto",Morte di Adamo,1560-1590 circa,18 - Tribuna
veneta,"Caliari, Carletto",Cacciata dal Paradiso terrestre,1560-1590 circa,18 - Tribuna
veneta,"Pitati, Bonifacio de'",Ritratto di un senatore,1530-1550 circa,18 - Tribuna
veneta,"Caliari, Carletto",Peccato originale,1560-1590 circa,18 - Tribuna
emiliana,Scuola emiliana del XVII secolo,Madonna addolorata,1600-1700 circa,18 - Tribuna
ferrarese,Scuola ferrarese,Tributo della moneta,1500-1600 circa,18 - Tribuna
veneta,"Bassano il Giovane, Francesco",San Girolamo,1570-1590,18 - Tribuna
romana,"Stefaneschi, Giovanni Battista (da Raffaello)",San Giovannino,1520 (post),18 - Tribuna
veneta,Veronese,Allegoria della città di Venezia come distributrice di ricompense e onori,1550-1570 circa,18 - Tribuna
forlivese,"Palmezzano, Marco",Crocifissione,1500 circa,19 - Perugino e Signorelli
umbra,Fiorenzo di Lorenzo,San Vincenzo Ferrer,1495-1500 circa,19 - Perugino e Signorelli
marchigiana,Lorenzo da San Severino,Pietà,1491 circa,19 - Perugino e Signorelli
fiorentina,Lorenzo di Credi,Annunciazione,1480-1485 circa,19 - Perugino e Signorelli
fiorentina,Lorenzo di Credi,Venere,1493-1495 circa,19 - Perugino e Signorelli
fiorentina,Piero di Cosimo,Perseo libera Andromeda,1510-1513 circa,19 - Perugino e Signorelli
fiorentina,"Signorelli, Luca",Sacra Famiglia di Parte Guelfa,1490 circa,19 - Perugino e Signorelli
fiorentina,"Signorelli, Luca",Allegoria della Fecondità e dell'Abbondanza,1500 circa,19 - Perugino e Signorelli
fiorentina,"Signorelli, Luca",Madonna col Bambino tra ignudi,1490 circa,19 - Perugino e Signorelli
umbra,Perugino,Ritratto di Francesco Maria delle Opere,1494,19 - Perugino e Signorelli
umbra,Perugino,Ritratto di Biagio Milanesi,1500,19 - Perugino e Signorelli
umbra,Perugino,Ritratto del monaco Baldassarre,1500,19 - Perugino e Signorelli
umbra,Perugino,Ritratto di giovane,1495,19 - Perugino e Signorelli
ferrarese,"Costa il Vecchio, Lorenzo",San Sebastiano,1490-1491 circa,19 - Perugino e Signorelli
urbinate,"Genga, Girolamo",Martirio di san Sebastiano,1500-1510 circa,19 - Perugino e Signorelli
emiliana,"Francia, Francesco",Ritratto di Evangelista Scappi,1500-1505 circa,19 - Perugino e Signorelli
tedesca,"Dürer, Albrecht",Ritratto di Albrecht Dürer il Vecchio,1490 circa,20 - Dürer
tedesca,"Dürer, Albrecht",Adorazione dei Magi,1504,20 - Dürer
tedesca,"Dürer, Albrecht",San Filippo apostolo,1516,20 - Dürer
tedesca,"Dürer, Albrecht",San Giacomo apostolo,1516,20 - Dürer
tedesca,"Dürer, Albrecht",Vergine della Pera,1526,20 - Dürer
tedesca,"Baldung Grien, Hans (copia da Dürer)",Adamo,1520 circa,20 - Dürer
tedesca,"Baldung Grien, Hans (copia da Dürer)",Eva,1520 circa,20 - Dürer
tedesca,"Cranach il Vecchio, Lukas",Madonna col Bambino e san Giovannino,1514,20 - Dürer
tedesca,"Cranach il Vecchio, Lukas",Adamo,1528,20 - Dürer
tedesca,"Cranach il Vecchio, Lukas",Eva,1528,20 - Dürer
tedesca,"Cranach il Vecchio, Lukas",Ritratto di Lutero e della moglie Caterina Bore,1529,20 - Dürer
tedesca,"Cranach il Vecchio, Lukas",Ritratto di Lutero e di Melantone,1543,20 - Dürer
tedesca,"Cranach il Vecchio, Lukas (bottega)",Ritratto femminile,1530 circa,20 - Dürer
tedesca,"Cranach il Vecchio, Lukas (bottega)",Ritratti di Giovanni I e Federico III di Sassonia,1533,20 - Dürer
tedesca,"Lemberger, Georg",San Giorgio,1520,20 - Dürer
fiamminga,"Cleve, Joos van",Ritratto di ignoto,1521 circa,20 - Dürer
tedesca,"Cranach il Giovane, Lukas",Ritratto di Lukas Cranach il Vecchio,1550,20 - Dürer
tedesca,"Maler zu Schwaz, Hans","Ritratto di Ferdinando di Castiglia, Arciduca d'Austria",1524-1525 circa,20 - Dürer
tedesca,"Burgkmair, Hans",Ritratto virile,1506,20 - Dürer
