Scuola,Autore,Soggetto/Titolo,Data,Sala
veneta,Tiziano,Madonna delle Rose,1520-1530 circa,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Flora,1515-1520 circa,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Ritratto di uomo malato,1514 circa,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Ritratto del papa Sisto IV,1545-1546 circa,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Ritratto di Francesco Maria Della Rovere,1536-1538 circa,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Venere di Urbino,1538,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Ritratto di Eleonora Gonzaga Della Rovere,1536-1537,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Santa Margherita,1565-1575 circa,28 - Tiziano e Sebastiano del Piombo
veneta,Sebastiano del Piombo,Morte di Adone,1511-1515 circa,28 - Tiziano e Sebastiano del Piombo
veneta,Sebastiano del Piombo,Ritratto di donna,1512,28 - Tiziano e Sebastiano del Piombo
ferrarese,"Dossi, Dosso",Apparizione della Madonna col Bambino ai santi Giovanni Battista ed Evangelista,1530-1540 circa,29 - Dosso e Parmigianino
ferrarese,"Dossi, Dosso",Riposo durante la fuga in Egitto,1515-1516 circa,29 - Dosso e Parmigianino
ferrarese,"Dossi, Dosso",Ritratto di guerriero,1530 circa,29 - Dosso e Parmigianino
ferrarese,"Dossi, Dosso",Allegoria di Ercole,1535 circa,29 - Dosso e Parmigianino
emiliana,"Aspertini, Amico",Adorazione dei pastori,1530 circa,29 - Dosso e Parmigianino
emiliana,"Aspertini, Amico",Ritratto di Alessandro Achillini,1521,29 - Dosso e Parmigianino
emiliana,Scuola emiliana del secolo XVI,Ritratto di fanciullo,1500-1600 circa,29 - Dosso e Parmigianino
emiliana,Parmigianino,Madonna di San Zaccaria,1530-1533 circa,29 - Dosso e Parmigianino
emiliana,Parmigianino,Madonna dal collo lungo,1534-1540,29 - Dosso e Parmigianino
emiliana,Parmigianino,Ritratto virile,1530 circa,29 - Dosso e Parmigianino
emiliana,Parmigianino,Madonna col Bambino,1525 circa,Depositi
ferrarese,Amico friulano del Dosso,Figura allegorica,1520-1530 circa,29 - Dosso e Parmigianino
ferrarese,Amico friulano del Dosso,Ritratto virile,1500-1530 circa,29 - Dosso e Parmigianino
ferrarese,Amico friulano del Dosso,Ritratto di donna,1510-1530 circa,29 - Dosso e Parmigianino
ferrarese,Garofalo,Adorazione dei pastori,1510-1530 circa,30 - Gabinetto degli Emiliani del Cinquecento
ferrarese,Garofalo,Annunciazione,1510-1530 circa,30 - Gabinetto degli Emiliani del Cinquecento
ferrarese,Garofalo,San Girolamo,1510-1530 circa,30 - Gabinetto degli Emiliani del Cinquecento
ferrarese,"Mazzolino, Ludovico",Adorazione dei pastori,1520-1524 circa,30 - Gabinetto degli Emiliani del Cinquecento
ferrarese,"Mazzolino, Ludovico",Madonna col Bambino e santi,1522-1523,30 - Gabinetto degli Emiliani del Cinquecento
ferrarese,"Mazzolino, Ludovico",Circoncisione,1522-1525 circa,30 - Gabinetto degli Emiliani del Cinquecento
ferrarese,"Mazzolino, Ludovico (attr.)",Strage degli innocenti,1522-1525 circa,30 - Gabinetto degli Emiliani del Cinquecento
veneta,Veronese,Martirio di santa Giustina,1570-1579 circa,31 - Veronese
veneta,Veronese,Sacra Famiglia con i santi Caterina e Giovannino,1562-1565,31 - Veronese
veneta,Veronese,Annunciazione,1556 circa,31 - Veronese
veneta,Veronese,Madonna in trono tra santi e donatori,1546-1548 circa,31 - Veronese
veneta,Veronese,Sant'Agata incoronata dagli angeli,1580 circa,31 - Veronese
veneta,Veronese,Ester condotta da Assuero,1560-1569 circa,31 - Veronese
veneta,"Vicentino, Andrea",Visitazione,1590-1610 circa,31 - Veronese
veneta,"Brusasorci, Domenico",Betsabea al bagno,1550,31 - Veronese
romana,"Franco, Battista",Salita al Calvario,1552,32 - Bassano e Tintoretto
veneta,"Bassano, Jacopo (bottega)",Giuda e Tamar,1550-1590 circa,32 - Bassano e Tintoretto
veneta,"Bassano, Jacopo (bottega)",Annuncio ai pastori,1550-1590 circa,32 - Bassano e Tintoretto
veneta,"Bordon, Paris",Ritratto di cavaliere,1535-1550 circa,32 - Bassano e Tintoretto
veneta,"Bassano, Jacopo",Due cani,1555 circa,32 - Bassano e Tintoretto
veneta,"Pace, Gian Paolo",Ritratto di Giovanni dalle Bande Nere,1545 circa,32 - Bassano e Tintoretto
veneta,"Bordon, Paris",Ritratto di uomo con pelliccia,1523-1532,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Cristo al pozzo della Samaritana,1560 circa,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Leda e il cigno,1550-1594 circa,32 - Bassano e Tintoretto
veneta,Scuola veneta della fine del XVI secolo,Ritratto di un artista,1550-1574 circa,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Ritratto di ammiraglio veneziano,1570 circa,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Adamo ed Eva cacciati dal Paradiso Terrestre,1550-1553 circa,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Ritratto di Jacopo Sansovino,1566 circa,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Ritratto virile,1546,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Ritratto di uomo dai capelli rossi,1516-1548 circa,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Ritratto di gentiluomo,1550-1590 circa,32 - Bassano e Tintoretto
veneta,"Tintoretto, Jacopo",Samaritana al pozzo,1578 circa,32 - Bassano e Tintoretto
fiorentina,"Allori, Alessandro",Ercole coronato dalle Muse,1568 circa,33 - Corridoio del Cinquecento
fiorentina,"Allori, Alessandro",Venere e Amore,1550-1559 circa,33 - Corridoio del Cinquecento
fiorentina,"Allori, Alessandro",San Pietro cammina sulle acque,1596,33 - Corridoio del Cinquecento
fiorentina,"Allori, Alessandro (attr.)",Ritratto di Ludovico Capponi (?),1570-1575 circa,33 - Corridoio del Cinquecento
fiorentina,"Allori, Alessandro",Sacrificio di Isacco,1601,33 - Corridoio del Cinquecento
fiorentina,"Allori, Alessandro",Ritratto di Bianca Cappello,1578 circa,33 - Corridoio del Cinquecento
marchigiana,"Barocci, Federico",Ritratto di fanciulla,1570-1575 circa,33 - Corridoio del Cinquecento
marchigiana,"Barocci, Federico",Autoritratto,1600 circa,33 - Corridoio del Cinquecento
fiamminga,"Beuckelaer, Joachim",Pilato mostra Gesù al popolo,1566,33 - Corridoio del Cinquecento
fiorentina,Bronzino,Cristo deposto,1567 circa,33 - Corridoio del Cinquecento
fiorentina,"Boscoli, Andrea",Piramo e Tisbe,1590 circa,33 - Corridoio del Cinquecento
fiorentina,"Boscoli, Andrea",San Sebastiano,1600-1606 circa,33 - Corridoio del Cinquecento
fiamminga,"Calvaert, Denijs",Assunzione di Maria,1602,33 - Corridoio del Cinquecento
veneta,"Campagnola, Domenico (attr.)",Ritratto virile,1525-1575 circa,33 - Corridoio del Cinquecento
fiorentina,"Cavalori, Mirabello (attr.)",Madonna col Bambino e santi,1550-1560 circa,33 - Corridoio del Cinquecento
fiorentina,"Empoli, L'",Ebbrezza di Noè,1520-1525 circa,33 - Corridoio del Cinquecento
fiorentina,"Empoli, L'",Sacrificio di Isacco,1520-1525 circa,33 - Corridoio del Cinquecento
fiorentina,Cigoli,Fuga in Egitto,1570-1600 circa,33 - Corridoio del Cinquecento
fiamminga,"Civetta, Il (Herri met de Bles)",Miniere di rame,1500-1524 circa,33 - Corridoio del Cinquecento
francese,"Coulet, François",Ritratto di Francesco I di Francia,1540 circa,33 - Corridoio del Cinquecento
fiamminga,"Floris, Frans",Susanna e i vecchioni,1540-1560 circa,33 - Corridoio del Cinquecento
emiliana,"Fontana, Lavinia",Apparizione di Gesù alla Maddalena,1581,33 - Corridoio del Cinquecento
fiorentina,"Ligozzi, Jacopo",Sacrificio di Isacco,1596 circa,33 - Corridoio del Cinquecento
fiorentina,"Ligozzi, Jacopo (cerchia)",Fortuna,1580-1600 circa,33 - Corridoio del Cinquecento
fiorentina,Maso da San Friano,Caduta di Icaro,1571 (post),33 - Corridoio del Cinquecento
marchigiana,Mazza Ventura (?) (copia da Barocci),Annunciazione,1600 circa,33 - Corridoio del Cinquecento
fiorentina,"Poppi, Il",Tre Grazie,1570 circa,33 - Corridoio del Cinquecento
emiliana,"Abate, Nicolò dell'",Ritratto di giovane,1540-1550 circa,33 - Corridoio del Cinquecento
fiorentina,Pittore fiorentino seconda metà del secolo XVI,Ulisse nell'isola di Circe,1570-1580 circa,33 - Corridoio del Cinquecento
francese,Pittore francese del secolo XVI,Ritratto di Cristina di Lorena,1588,33 - Corridoio del Cinquecento
francese,Pittore francese del secolo XVI,Uomo in armatura,1545-1549 circa,33 - Corridoio del Cinquecento
fiorentina,"Samacchini, Orazio",Susanna al bagno,1570-1575 circa,33 - Corridoio del Cinquecento
fiorentina,"Samacchini, Orazio",Castità di Giuseppe,1570-1575 circa,33 - Corridoio del Cinquecento
spagnola,"Sanchez Coelho, Alonso",Ritratto di Elisabetta di Valois,1570-1580 circa,33 - Corridoio del Cinquecento
fiorentina,Santi di Tito,Madonna col Bambino e santi,1565 circa,33 - Corridoio del Cinquecento
fiorentina,Scarsellino,Giudizio di Paride,1590-1595 circa,33 - Corridoio del Cinquecento
francese,Scuola di Fontainebleau,Due donne al bagno,1570-1600 circa,33 - Corridoio del Cinquecento
francese,Scuola di Fontainebleau,Flora,1550-1600 circa,33 - Corridoio del Cinquecento
fiorentina,"Vasari, Giorgio",Artemisia piange Mausolo,1545,33 - Corridoio del Cinquecento
fiorentina,"Vasari, Giorgio",Fucina di Vulcano,1563-1565,33 - Corridoio del Cinquecento
fiorentina,"Vasari, Giorgio",Adorazione dei pastori,1550 circa,33 - Corridoio del Cinquecento
fiorentina,"Zucchi, Jacopo",Riposo durante la fuga in Egitto,1550-1590 circa,33 - Corridoio del Cinquecento
fiorentina,"Zucchi, Jacopo",Età del ferro,1570-1577,33 - Corridoio del Cinquecento
fiorentina,"Zucchi, Jacopo",Età dell'argento,1576-1581 circa,33 - Corridoio del Cinquecento
fiorentina,"Zucchi, Jacopo",Età dell'oro,1576-1581 circa,33 - Corridoio del Cinquecento
francese,"Clouet, François",Ritratto di Francesco I a cavallo,1540 circa,33 - Corridoio del Cinquecento
toscana,"Vasari, Giorgio",Profeta Eliseo,1566 circa,Depositi
fiorentina,"Allori, Alessandro (bottega)",Ritratto di Bianca Cappello,1560-1585 circa,Depositi
fiorentina,Daniele da Volterra,Strage degli Innocenti,1557,Depositi
fiorentina,Franciabigio,Madonna del pozzo,1500-1524 circa,Depositi
olandese,"Moro, Antonio",Autoritratto,1558,Depositi
lombarda,"Licinio, Bernardino",Nuda,1525-1550 circa,34 - Lombardi del Cinquecento
veneta,"Florigerio, Sebastiano",Ritratto di Raffaello Grassi,1540-1550 circa,34 - Lombardi del Cinquecento
emiliana,"Campi, Bernardino (?)",Ritratto virile,1560 circa,34 - Lombardi del Cinquecento
lombarda,"Moroni, Giovan Battista",Ritratto del poeta Giovanni Antonio Pantera,1560-1570 circa,34 - Lombardi del Cinquecento
lombarda,"Moroni, Giovan Battista",Ritratto del cavaliere Pietro Secco Suardo,1563,34 - Lombardi del Cinquecento
lombarda,"Moroni, Giovan Battista",Ritratto di un dotto,1550-1553 circa,34 - Lombardi del Cinquecento
lombarda,Pittore dell'Italia settentrionale del secolo XVI,"Ritratto virile, detto Teofilo Folengo",1500-1550 circa,34 - Lombardi del Cinquecento
veneta,"Lotto, Lorenzo",Susanna e i vecchioni,1517,34 - Lombardi del Cinquecento
veneta,"Lotto, Lorenzo",Ritratto di giovane,1505 circa,34 - Lombardi del Cinquecento
veneta,"Lotto, Lorenzo",Sacra famiglia con i santi Girolamo e Anna,1534,34 - Lombardi del Cinquecento
lombarda,"Savoldo, Giovanni Girolamo",Trasfigurazione,1553-1555 circa,34 - Lombardi del Cinquecento
veneta,"Pino, Paolo",Ritratto di gentiluomo,1534 circa,34 - Lombardi del Cinquecento
lombarda,"Anguissola, Sofonisba (attr.)",Ritratto di ignoto,1530-1540 circa,34 - Lombardi del Cinquecento
lombarda,"Figino, Girolamo",Madonna col Bambino e le sante Margherita e Maddalena,1559-1560 circa,34 - Lombardi del Cinquecento
lombarda,"Campi, Giulio",Ritratto di suonatore di chitarra,1530-1540 circa,34 - Lombardi del Cinquecento
lombarda,"Campi, Giulio (attr.)",Ritratto di Galeazzo Campi,1530-1540 circa,34 - Lombardi del Cinquecento
lombarda,"Boccaccino, Camillo (attr.)",Testa di vecchio,1530-1540 circa,34 - Lombardi del Cinquecento
fiorentina,"Buti, Ludovico",Assunzione della Vergine,1580-1610 circa,35 - Barocci e Controriforma toscana
fiorentina,"Allori, Alessandro",Cristo morto pianto da Maria e dagli angeli,1580,35 - Barocci e Controriforma toscana
fiorentina,"Passignano, Il",San Luca che dipinge Maria,1570-1630 circa,35 - Barocci e Controriforma toscana
marchigiana,"Barocci, Federico",Madonna della Gatta,1598-1605 circa,35 - Barocci e Controriforma toscana
marchigiana,"Barocci, Federico",Madonna del Popolo,1579,35 - Barocci e Controriforma toscana
fiorentina,"Cigoli, Il",San Francesco riceve le stigmate,1596,35 - Barocci e Controriforma toscana
fiorentina,"Pagani, Gregorio",Cristo nella casa di Marta e Maria,1590-1605 circa,35 - Barocci e Controriforma toscana
fiorentina,"Poccetti, Bernardino",Apparizione della Madonna col Bambino ai santi Nicola di Bari e Bruno,1595,35 - Barocci e Controriforma toscana
fiorentina,"Empoli, L'",Martirio di santa Barbara,1603,35 - Barocci e Controriforma toscana
fiorentina,"Cigoli, Il",Deposizione,1590-1610 circa,35 - Barocci e Controriforma toscana
fiorentina,Santi di Tito,"Bene scripsisti de me, Thoma",1560-1600 circa,35 - Barocci e Controriforma toscana
senese,Sodoma,Stendardo con san Sebastiano e Madonna col Bambino e santi,1525,Ex-Vestibolo di uscita
tedesca,"Loth, Johann Carl",Adamo piange Abele morto,1680-1690 circa,Ex-Vestibolo di uscita
marchigiana,"Barocci, Federico",Ritratto di Francesco Maria II della Rovere,1572 circa,Ex-Vestibolo di uscita
fiorentina,"Allori, Alessandro",Ritratto di Ortensia de' Bardi di Montauto,1559,Ex-Vestibolo di uscita
marchigiana,"Barocci, Federico",Ritratto di Ippolito della Rovere,1602 circa,Ex-Vestibolo di uscita
fiamminga,"Rubens, Pieter Paul",Enrico IV alla battaglia di Ivry,1627-1630,42 - Niobe
fiamminga,"Rubens, Pieter Paul",Ingresso trionfale di Enrico IV a Parigi,1627-1631,42 - Niobe
fiorentina,"Sustermans, Giusto",Giuramento del Senato fiorentino a Ferdinando II de' Medici,1621,42 - Niobe
fiamminga,"Grisoni, Giuseppe",Ratto di Proserpina,1723-1730 circa,42 - Niobe
fiorentina,"Coccapani, Sigismondo",Suonatore di flauto,1647 (ante),43 - Seicento italiano (ed europeo)
emiliana,"Carracci, Annibale",Autoritratto di profilo,1590-1591 circa,43 - Seicento italiano (ed europeo)
emiliana,"Carracci, Annibale","Venere, satiro e amorini",1587-1588 circa,43 - Seicento italiano (ed europeo)
romana,"Preti, Mattia",Vanitas,1650-1670 circa,43 - Seicento italiano (ed europeo)
emiliana,Guercino,Sibilla Samia,1644,43 - Seicento italiano (ed europeo)
emiliana,Domenichino,Ritratto del Cardinale Agucchi,1605,43 - Seicento italiano (ed europeo)
mantovana,"Feti, Domenico",Ecce Homo,1613,43 - Seicento italiano (ed europeo)
ligure,"Strozzi, Bernardo",Tributo della moneta,1630,43 - Seicento italiano (ed europeo)
fiorentina,"Sustermans, Giusto",Due contadine e un negro,1630-1680 circa,44 - (Rembrandt e) Fiamminghi del Seicento
fiorentina,"Sustermans, Giusto",Ritratto di Galileo Galilei,1636,Depositi
olandese,"Codde, Pieter",Riunione conviviale,1620-1670 circa,44 - (Rembrandt e) Fiamminghi del Seicento
olandese,"Codde, Pieter",Riunione musicale,1620-1670 circa,44 - (Rembrandt e) Fiamminghi del Seicento
olandese,"Swanevelt, Herman van",Paesaggio con figure,1640 circa,44 - (Rembrandt e) Fiamminghi del Seicento
olandese,"Mierevelt, Michiel Jansz. van",Ritratto di gentiluomo,1617-1625 circa,44 - (Rembrandt e) Fiamminghi del Seicento
olandese,"Mierevelt, Michiel Jansz. van",Ritratto di gentildonna,1617-1625 circa,44 - (Rembrandt e) Fiamminghi del Seicento
emiliana,"Crespi, Giuseppe Maria",Cercatrice di pulci,1710-1730 circa,45 - Settecento italiano (ed europeo)
emiliana,"Crespi, Giuseppe Maria",Ritratto del pittore Giovanni Sorbi (?),1710-1730 circa,45 - Settecento italiano (ed europeo)
emiliana,"Crespi, Giuseppe Maria",Amore e Psiche,1709,45 - Settecento italiano (ed europeo)
ligure,"Magnasco, Alessandro",Refezione di zingari,1710 circa,45 - Settecento italiano (ed europeo)
romana,"Pannini, Giovanni Paolo",Piscina di Betsaida,1740 circa,45 - Settecento italiano (ed europeo)
veneta,"Longhi, Alessandro",Ritratto di gentildonna,1770 circa,45 - Settecento italiano (ed europeo)
veneta,"Longhi, Pietro",Confessione,1755 circa,45 - Settecento italiano (ed europeo)
veneta,Canaletto,Capriccio lagunare con una tomba,1740 circa,45 - Settecento italiano (ed europeo)
veneta,Canaletto,Capriccio lagunare con casa e campanile,1740 circa,45 - Settecento italiano (ed europeo)
veneta,Canaletto,Veduta del Palazzo Ducale di Venezia,1755 (ante),45 - Settecento italiano (ed europeo)
veneta,Canaletto,Canal Grande,1728-1730,45 - Settecento italiano (ed europeo)
veneta,"Guardi, Francesco",Capriccio con ponti su un canale,1750 circa,45 - Settecento italiano (ed europeo)
veneta,"Guardi, Francesco",Capriccio con arco e pontile,1750 circa,45 - Settecento italiano (ed europeo)
veneta,"Longhi, Alessandro",Ritratto di magistrato,1775-1800 circa,45 - Settecento italiano (ed europeo)
veneta,"Tiepolo, Giambattista",Rinaldo si specchia nello scudo di Ubaldo,1750-1755 circa,45 - Settecento italiano (ed europeo)
veneta,"Tiepolo, Giambattista",Rinaldo abbandona Armida,1750-1755 circa,45 - Settecento italiano (ed europeo)
veneta,"Carriera, Rosalba",Ritratto di Felicita Sartori (?),1730-1740 circa,45 - Settecento italiano (ed europeo)
francese,"Chardin, Jean-Baptiste-Siméon",Ragazza col volano,1740 circa,45 - Settecento italiano (ed europeo)
spagnola,"Velázquez, Diego","Natura morta con porri, frattaglie, un fiasco e formaggio",1620-1650 circa,46 - Pittori spagnoli del XVI-XVIII secolo
spagnola,"Pereda, Antonio de (attr.)",Allegoria della Vanità,1660-1670 circa,46 - Pittori spagnoli del XVI-XVIII secolo
spagnola,"Ribera, Jusepe de",San Girolamo penitente,1626,46 - Pittori spagnoli del XVI-XVIII secolo
spagnola,"Goya, Francisco de",Ritratto di María Luisa de Borbón y Vallabriga,1800 circa,46 - Pittori spagnoli del XVI-XVIII secolo
spagnola,"Goya, Francisco de",Ritratto di Maria Teresa di Vallabriga a cavallo,1783,46 - Pittori spagnoli del XVI-XVIII secolo
spagnola,"Velázquez, Diego",Autoritratto,1645 circa,46 - Pittori spagnoli del XVI-XVIII secolo
spagnola,"Greco, El",Santi Giovanni Evangelista e Francesco,1600 circa,46 - Pittori spagnoli del XVI-XVIII secolo
spagnola,"Morales, Luis de",Cristo portacroce,1550-1560 circa,46 - Pittori spagnoli del XVI-XVIII secolo
olandese,"Metsu, Gabriel",Dama e cavaliere in un interno,1660-1665 circa,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Mieris il Vecchio, Frans van",Autoritratto con la sua famiglia,1675,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Dou, Gerrit",Autoritratto,1658,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Dou, Gerrit",La scuola serale,1660-1665 circa,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Slingelandt, Pieter van",Bolle di sapone,1661,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Mieris il Vecchio, Frans van",Giovane ubriacone,1665-1670 circa,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Mieris il Vecchio, Frans van",Cortigiana olandese,1669,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Mieris il Vecchio, Frans van",Autoritratto,1676,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Mieris il Vecchio, Frans van",Autoritratto,1650-1655 circa,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Steen, Jan",Osteria di campagna,1650-1600 circa,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Mieris il Vecchio, Frans van",Due vecchi a tavola,1655-1660 circa,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Metsu, Gabriel",Donna che accorda il liuto,1660-1665 circa,47 - Pittori olandesi di Leida del XVII secolo
olandese,"Dou, Gerrit",Venditrice di frittelle,1650-1665 circa,47 - Pittori olandesi di Leida del XVII secolo
francese,"Jouvenet, Jean",Sant'Anna insegna a leggere alla Vergine,1700 circa,48 - Pittori francesi del XVII secolo
francese,"Rigaud, Hyacinthe",Ritratto di Jacques-Bénigne Bossuet,1698,48 - Pittori francesi del XVII secolo
francese,"Stella, Jacques",Cristo servito dagli angeli,1650 circa,48 - Pittori francesi del XVII secolo
francese,"Le Brun, Charles",Sacrificio di Jefte,1642,48 - Pittori francesi del XVII secolo
francese,"Vouet, Simon",Madonna col Bambino in un paesaggio,1625-1626,48 - Pittori francesi del XVII secolo
francese,"Dufresnoy, Charles-Alphonse",Socrate beve la cicuta,1650 circa,48 - Pittori francesi del XVII secolo
francese,"Dorigny, Michel (attr.)",Annunciazione,1650-1660 circa,48 - Pittori francesi del XVII secolo
francese,"Lorrain, Claude",Porto con Villa Medici,1637,Depositi
olandese,"Heyden, Jan van den",Veduta di una piazza ad Amsterdam,1667,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,Rembrandt (copia da),Autoritratto senile,1655 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,Rembrandt,Autoritratto da vecchio,1664 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Seghers, Hercules Pietersz.",Paesaggio montuoso,1620-1630 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Schrieck, Otto Marseus van",Sottobosco con piante e animali,1650-1670 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Aelst, Willem van",Natura morta con cacciagione,1652,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Velde, Adriaen van de",Paesaggio con animali,1660 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Ruysch, Rachel",Natura morta con fiori e insetti,1711,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Lingelbach, Johannes",Riposo dopo la caccia,1665-1670 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"De Moucheron, Frederick",Paesaggio con armenti,1660-1670 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Ruysch, Rachel",Natura morta con frutta e insetti,1711,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Codde, Pieter",Concerto,1620-1670 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Codde, Pieter",Conversazione,1620-1670 circa,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,Rembrandt,Autoritratto giovanile,1634,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,Rembrandt,Ritratto di vecchio,1665,49 - Pittori olandesi di Amsterdam del XVII-XVIII secolo
olandese,"Schalcken, Godfried",Autoritratto,1695,50 - Pittori olandesi dell'Aia del XVII secolo
olandese,"Netscher, Caspar",Autoritratto con la sua famiglia,1660 circa,50 - Pittori olandesi dell'Aia del XVII secolo
olandese,"Netscher, Caspar",Offerta a Venere,1660 circa,50 - Pittori olandesi dell'Aia del XVII secolo
olandese,"Schalcken, Godfried",Pietà,1704-1706 circa,50 - Pittori olandesi dell'Aia del XVII secolo
olandese,"Schalcken, Godfried",Donna che cuce in un interno,1660-1670 circa,50 - Pittori olandesi dell'Aia del XVII secolo
olandese,"Netscher, Caspar",Suonatrice di liuto,1668,50 - Pittori olandesi dell'Aia del XVII secolo
olandese,"Lelienbergh, Cornelis (attr.)",Natura morta di uccelli morti e tartaruga,1650-1660 circa,50 - Pittori olandesi dell'Aia del XVII secolo
olandese,"Schalcken, Godfried",Pigmalione,1665-1675 circa,50 - Pittori olandesi dell'Aia del XVII secolo
olandese,"Netscher, Caspar",Cuoca,1664,50 - Pittori olandesi dell'Aia del XVII secolo
francese,"Grimou, Alexis",Giovane donna in vesti di pellegrina,1725-1726,51 - Pittori francesi del XVIII secolo
francese,"Largillière, Nicolas de",Ritratto del poeta Jean-Baptiste Rousseau,1710,51 - Pittori francesi del XVIII secolo
francese,"Vernet, Claude Joseph",Paesaggio con cascata e pescatori,1743-1748,51 - Pittori francesi del XVIII secolo
francese,"Watteau, Jean-Antoine (cerchia)",Flautista,1725-1730 circa,51 - Pittori francesi del XVIII secolo
francese,"Boucher, François",Gesù Bambino e san Giovannino,1758,51 - Pittori francesi del XVIII secolo
francese,"Gagneraux, Bénigne",Scena di battaglia,1795,51 - Pittori francesi del XVIII secolo
francese,"Fabre, François-Xavier",Ritratto di Vittorio Alfieri,1793,51 - Pittori francesi del XVIII secolo
francese,"Fabre, François-Xavier",Ritratto di Luisa Stolberg contessa d'Albany,1793,51 - Pittori francesi del XVIII secolo
francese,"Liotard, Jean-Etienne",Autoritratto,1744,51 - Pittori francesi del XVIII secolo
francese,"Vivien, Joseph",Autoritratto,1699,51 - Pittori francesi del XVIII secolo
francese,"Chardin, Jean Baptiste Siméon",Fanciulla col volano,1740 circa,51 - Pittori francesi del XVIII secolo
francese,"Chardin, Jean Baptiste Siméon",Fanciullo col castello di carte,1740 circa,51 - Pittori francesi del XVIII secolo
francese,"Nattier, Jean Marc",Maria Zeffirina di Francia bambina,1751 circa,51 - Pittori francesi del XVIII secolo
francese,"Liotard, Jean-Etienne",Maria Adelaide di Francia vestita alla turca,1753 circa,51 - Pittori francesi del XVIII secolo
fiamminga,"Bril, Paul",Veduta di mare,1617,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Teniers il Giovane, David",Interno di macelleria,1640-1650 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Montagna, Monsù (attr.)",Vascelli nella tempesta,1650 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Neefs il Vecchio, Pieter (attr.)",Interno della cattedrale di Anversa,1610-1650 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Teniers il Giovane, David (attr.)",San Pietro piangente,1651-1658 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Ryckaert, Maerten",Paesaggio con le cascate di Tivoli,1616,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Stalbemt, Adrian van",Paesaggio con fiume,1630-1640 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Teniers il Giovane, David",I vecchi amanti,1640 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Brueghel il Giovane, Jan",Allegoria dell'aria e del fuoco,1650-1660 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Brueghel il Giovane, Jan",Allegoria della terra e dell'acqua,1650-1660 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Bril, Paul",Paesaggio con cacciatori,1595-1600 circa,52 - Pittori fiamminghi del XVII secolo
fiamminga,"Brueghel il Vecchio, Jan",Paesaggio con guado,1607,52 - Pittori fiamminghi del XVII secolo
